,attendance,box_score_text,game_date,game_remarks,game_start_time,team1_pts,team1_name,overtimes,team2_pts,team2_name,playoffs,season,location,date,home,Timezone,Lat,Long,Location,Timezone_home,Lat_home,Long_home,prev_game_date,prev_game_location,prev_game_lat,prev_game_long,prev_opponent,opp_prev_game_date,opp_prev_game_location,opp_prev_game_lat,opp_prev_game_long,2prev_game_location,2prev_game_lat,2prev_game_long,3prev_game_location,3prev_game_lat,3prev_game_long,4prev_game_location,4prev_game_lat,4prev_game_long,5prev_game_location,5prev_game_lat,5prev_game_long,6prev_game_location,6prev_game_lat,6prev_game_long,7prev_game_location,7prev_game_lat,7prev_game_long,8prev_game_location,8prev_game_lat,8prev_game_long,9prev_game_location,9prev_game_lat,9prev_game_long,10prev_game_location,10prev_game_lat,10prev_game_long,11prev_game_location,11prev_game_lat,11prev_game_long,game_of_trip,total_trip_distance,prev_game_timezone,rest,opp_rest,rest_diff,timezone_change,home_timezone_change,travel_distance,is_series_game2,won,won_prev_game,attendance_capacity
146,,Box Score,"Mon, Dec 28, 2020",,8:00p,109.0,Oklahoma City Thunder,,110.0,Utah Jazz,N,2021,Oklahoma City Thunder,2020-12-28,Y,2,35.468611,-97.521389,Oklahoma City Thunder,2,35.468611,-97.521389,2020-12-26,Charlotte Hornets,35.227222,-80.843056,Charlotte Hornets,2020-12-26,Utah Jazz,40.760833,-111.891111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,1.0,0,910.7892893865352,False,False,True,
147,,Box Score,"Mon, Dec 28, 2020",,8:00p,110.0,Utah Jazz,,109.0,Oklahoma City Thunder,N,2021,Oklahoma City Thunder,2020-12-28,N,2,35.468611,-97.521389,Utah Jazz,3,40.760833,-111.891111,2020-12-26,Utah Jazz,40.760833,-111.891111,Minnesota Timberwolves,2020-12-26,Charlotte Hornets,35.227222,-80.843056,Portland Trail Blazers,45.52,-122.681944,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,865.4020619420139,3.0,2.0,2.0,0.0,-1.0,-1,865.4020619420139,False,True,False,
148,,Box Score,"Tue, Dec 29, 2020",,8:00p,107.0,Oklahoma City Thunder,,118.0,Orlando Magic,N,2021,Oklahoma City Thunder,2020-12-29,Y,2,35.468611,-97.521389,Oklahoma City Thunder,2,35.468611,-97.521389,2020-12-28,Oklahoma City Thunder,35.468611,-97.521389,Utah Jazz,2020-12-27,Washington Wizards,38.9101,-77.0147,Charlotte Hornets,35.227222,-80.843056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,-1.0,0.0,0,0.0,False,False,False,
149,,Box Score,"Tue, Dec 29, 2020",,8:00p,118.0,Orlando Magic,,107.0,Oklahoma City Thunder,N,2021,Oklahoma City Thunder,2020-12-29,N,2,35.468611,-97.521389,Orlando Magic,1,28.54,-81.38,2020-12-27,Washington Wizards,38.9101,-77.0147,Washington Wizards,2020-12-28,Oklahoma City Thunder,35.468611,-97.521389,Washington Wizards,38.9101,-77.0147,Orlando Magic,28.54,-81.38,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1898.7585949811091,1.0,2.0,1.0,1.0,1.0,1,1144.5692451299235,False,True,True,
150,,Box Score,"Thu, Dec 31, 2020",,8:00p,80.0,Oklahoma City Thunder,,113.0,New Orleans Pelicans,N,2021,Oklahoma City Thunder,2020-12-31,Y,2,35.468611,-97.521389,Oklahoma City Thunder,2,35.468611,-97.521389,2020-12-29,Oklahoma City Thunder,35.468611,-97.521389,Orlando Magic,2020-12-29,Phoenix Suns,33.45,-112.066667,Oklahoma City Thunder,35.468611,-97.521389,Charlotte Hornets,35.227222,-80.843056,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,0.0,0,0.0,False,False,False,
151,,Box Score,"Thu, Dec 31, 2020",,8:00p,113.0,New Orleans Pelicans,,80.0,Oklahoma City Thunder,N,2021,Oklahoma City Thunder,2020-12-31,N,2,35.468611,-97.521389,New Orleans Pelicans,2,29.95,-90.08,2020-12-29,Phoenix Suns,33.45,-112.066667,Phoenix Suns,2020-12-29,Oklahoma City Thunder,35.468611,-97.521389,New Orleans Pelicans,29.95,-90.08,Miami Heat,25.775278,-80.208889,Toronto Raptors,43.741667,-79.373333,,,,,,,,,,,,,,,,,,,,,,2.0,2030.8161825240159,3.0,2.0,2.0,0.0,-1.0,0,806.2936974380215,False,True,False,
152,,Box Score,"Mon, Dec 28, 2020",,7:30p,128.0,Atlanta Hawks,,120.0,Detroit Pistons,N,2021,Atlanta Hawks,2020-12-28,Y,1,33.755,-84.39,Atlanta Hawks,1,33.755,-84.39,2020-12-26,Memphis Grizzlies,35.1175,-89.971111,Memphis Grizzlies,2020-12-26,Detroit Pistons,42.331389,-83.045833,Chicago Bulls,41.881944,-87.627778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,0.0,-1.0,0,318.9010924210198,False,True,True,0.0
153,,Box Score,"Mon, Dec 28, 2020",,7:30p,120.0,Detroit Pistons,,128.0,Atlanta Hawks,N,2021,Atlanta Hawks,2020-12-28,N,1,33.755,-84.39,Detroit Pistons,1,42.331389,-83.045833,2020-12-26,Detroit Pistons,42.331389,-83.045833,Cleveland Cavaliers,2020-12-26,Memphis Grizzlies,35.1175,-89.971111,Minnesota Timberwolves,44.981944,-93.269167,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,596.3044886645985,1.0,2.0,2.0,0.0,0.0,0,596.3044886645985,False,False,False,0.0
154,0.0,Box Score,"Sat, Jan 2, 2021",,7:30p,96.0,Cleveland Cavaliers,,91.0,Atlanta Hawks,N,2021,Atlanta Hawks,2021-01-02,N,1,33.755,-84.39,Cleveland Cavaliers,1,41.482222,-81.669722,2020-12-31,Indiana Pacers,39.768611,-86.158056,Indiana Pacers,2021-01-01,Brooklyn Nets,40.71274,-74.005974,Cleveland Cavaliers,41.482222,-81.669722,Cleveland Cavaliers,41.482222,-81.669722,Detroit Pistons,42.331389,-83.045833,Cleveland Cavaliers,41.482222,-81.669722,,,,,,,,,,,,,,,,,,,2.0,698.1170367830019,1.0,2.0,1.0,1.0,0.0,0,426.0207477039051,False,True,False,0.0
155,0.0,Box Score,"Sat, Jan 2, 2021",,7:30p,91.0,Atlanta Hawks,,96.0,Cleveland Cavaliers,N,2021,Atlanta Hawks,2021-01-02,Y,1,33.755,-84.39,Atlanta Hawks,1,33.755,-84.39,2021-01-01,Brooklyn Nets,40.71274,-74.005974,Brooklyn Nets,2020-12-31,Indiana Pacers,39.768611,-86.158056,Brooklyn Nets,40.71274,-74.005974,Atlanta Hawks,33.755,-84.39,Memphis Grizzlies,35.1175,-89.971111,Chicago Bulls,41.881944,-87.627778,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,-1.0,0.0,0,742.9220774267393,False,False,True,0.0
